district,schooldbn,name,neighborhood,address,coursepassrate,elaprof,mathprof,totalstudents,surveysafety,ellprograms,languageclasses,acceleratedclasses,electiveclasses,activities,accessibility,year
6.0,06M018,Park Terrace (P.S. 18),Inwood,"4124 9th Avenue, Manhattan NY 10034",87.0,12.0,17.0,139.0,89.0,"English as a New Language, Dual Language: Spanish, Transitional Bilingual Education: Spanish",,Algebra I,Group tutoring sessions in preparation for Specialized High Schools,CHALK ; CHAMPS Basketball and Volleyball ; Chess ; Chorus ; Computers ; East Side House Settlement-After-School ; Inquiry-Based Learning ; LINC Parent Program ; Literacy Inc. (school-wide tutoring) ; Mental Health and Wellness ; Move to Improve ; Parent Cooking Classes ; Robotics ; Rosie's Theatre Grade Five ; School Band ; School Wellness ; SEA Theatre ; STEM Program ; Waterford Early Learning K-2 ; Yoga,Accessible,2018
6.0,06M052,I.S. 52 (Inwood Intermediate School 52),Inwood,"650 Academy Street, Manhattan NY 10034",98.0,20.0,12.0,332.0,80.0,"English as a New Language, Transitional Bilingual Education: Spanish","French, Spanish","Algebra I, French, Spanish","Arts, Band, Computer Science, ELA Saturday Academy, French, Graphic Design, Math Saturday Academy, One to One Tutoring, Spanish, Specialized High School Test Preparation, Title III Programs to Support English Language Development",After-School Band ; Band ; Computer Science ; Film and New Media ; Guitar Club ; iBook Creation ; Robotics ; Stop Motion Animation ; Tiger Advisory ; Tiger Tech Team ; Urban Advantage ; Video Game Design ; Yearbook ; Young Ambassador Program,Not Accessible,2018
6.0,06M143,Eleanor Roosevelt Intermediate School (I.S. 143),Washington Heights,"511 West 182nd Street, Manhattan NY 10033",83.0,13.0,7.0,316.0,67.0,"English as a New Language, Transitional Bilingual Education: Spanish",Spanish,"Algebra I, Living Environment","Art, Coding, Robotics",Academic After-School Program ; Books and Movies Club ; Girl Talk Club ; Jewelry Club ; Mixed Media Club ; Morning Tutoring Program ; Robotics Club,Accessible,2018
6.0,06M187,Hudson Cliffs School (P.S./I.S. 187),Washington Heights,"349 Cabrini Boulevard, Manhattan NY 10040",99.0,42.0,42.0,294.0,97.0,English as a New Language,Spanish,Algebra I,"Advisory, Art, Instrumental Music, Spanish",Art Club ; Choir ; Concert Band; High School Prep ; High School Test Prep ; Intramural sports ; LEGO Club ; Musical ; Role Playing Games ; School Dances ; TACHs Prep ; Talent Show,Not Accessible,2018
6.0,06M209,Hamilton Grange Middle School,Manhattanville,"500 West 138th Street, Manhattan NY 10031",90.0,15.0,19.0,246.0,91.0,English as a New Language,Spanish,"Algebra I, Living Environment","Art, Music, Physical Education, Regents Algebra, Regents Living Environment, Spanish",After-School All Stars (comprehensive after-school program) ; America Scores New York ; Choir ; CITYarts ; Cooking ; Creative Art Works ; DJ Club ; Google Computer Science ; Homework Help Club and Study Hall ; Martial Arts ; Orchestra ; Student Council,Accessible,2018
6.0,06M210,The Twenty-First Century Academy for Community Leadership (P.S./I.S. 210),Hamilton Heights,"501-503 West 152nd Street, Manhattan NY 10031",93.0,25.0,23.0,161.0,87.0,"English as a New Language, Dual Language: Spanish",Spanish,"Algebra I, Living Environment, Spanish",,Buddy Club (Reading and Writing) ; Chess Club ; Midori Violin and Cello Program ; Science Program ; Student Tutors,Accessible,2018
6.0,06M218,The Salome Ureña de Henriquez School (I.S. 218),Washington Heights,"4600 Broadway, Manhattan NY 10040",98.0,13.0,4.0,198.0,86.0,"English as a New Language, Transitional Bilingual Education: Spanish",Spanish,,,"Annual Visits to Philadelphia and Washington, DC ; Book Club ; Cheerleading ; Chess Club ; Computer Graphics ; Dance ; Expeditionary Learning for Literacy ; Leadership Training through Student Government ; Project-Based Science Instruction ; Visual Arts ; Yoga",Accessible,2018
6.0,06M223,The Mott Hall School,Manhattanville,"71-111 Convent Avenue, Manhattan NY 10027",97.0,69.0,54.0,286.0,96.0,English as a New Language,"French, Latin","Algebra I, Living Environment","Chorus, College Access for All, High School Prep, Instrumental Music (Multicultural Music Group Symphonic Youth Program), Math Counts, Mural Painting, National Dance Institute (NDI), Poetry in the Classroom (CUNY), Regents Prep, Service Learning, Theatre Program (TBTB Company), Technology-Coding",The City College of New York (CCNY): Science Collaboration ; Film Program at Aaron Davis Hall ; Math Counts (math coaching program) ; Poetry in the Classroom ; Free After-School Sponsored by Sports & Arts in Schools Foundation (SASF) Enrichment After-School Programs include: 3-D Printing ; Art ; Chess ; Chorus ; Coding ; Debate ; Instrumental Music (Orchestra) ; Leadership Development ; National Dance Institute (NDI) ; STEM Association ; Service Learning Program ; Sports ; Street Project Program ; Technology,Accessible,2018
6.0,06M278,Paula Hedbavny School (P.S./M.S. 278),Inwood,"421 West 219th Street, Manhattan NY 10034",88.0,53.0,63.0,202.0,97.0,English as a New Language,Spanish,,Weekly Enrichment Clusters (based on student interest),After-School Program ; Chorus ; Competitive Debate Team ; Portfolio Art,Accessible,2018
6.0,06M293,City College Academy of The Arts,Washington Heights N.,"4600 Broadway, Manhattan NY 10040",98.0,48.0,44.0,256.0,87.0,English as a New Language,Spanish,"Algebra I, Living Environment, Spanish, US History",,Arts Exploration ; Chess ; Cooking ; Dance ; Drama ; Fitness ; Magazine ; Music ; Rock Band ; Singing ; Student Council ; Technology ; Tutoring ; Yearbook,Accessible,2018
