dbn,district,name,telephone,address,Postcode,Borough,url,Latitude,Longitude,2016_student_count,2016_testers_count,2016_offers_count,2017_student_count,2017_testers_count,2017_offers_count,2018_student_count,2018_testers_count,2018_offers_count,2019_student_count,2019_testers_count,2019_offers_count,2020_student_count,2020_testers_count,2020_offers_count,2021_student_count,2021_testers_count,2021_offers_count
01M034,1.0,P.S. 034 Franklin D. Roosevelt,212-228-4433,"730 East  12 Street, New York, NY 10009",10009.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8843,40.726473,-73.975181,8.0,8.0,0.0,61.0,10.0,0.0,58.0,6.0,0.0,40.0,6.0,0.0,47.0,0.0,0.0,44.0,0.0,0.0
01M140,1.0,P.S. 140 Nathan Straus,212-677-4680,"123 Ridge Street, New York, NY 10002",10002.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8855,40.71925,-73.983056,14.0,14.0,0.0,59.0,10.0,0.0,67.0,6.0,0.0,68.0,10.0,0.0,68.0,7.0,0.0,56.0,9.0,0.0
01M184,1.0,P.S. 184m Shuang Wen,212-602-9700,"327 Cherry Street, New York, NY 10002",10002.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8860,40.711549,-73.986542,39.0,39.0,19.0,80.0,64.0,28.0,88.0,67.0,23.0,88.0,67.0,27.0,94.0,74.0,24.0,112.0,79.0,29.0
01M188,1.0,P.S. 188 The Island School,212-677-5710,"442 East Houston Street, New York, NY 10002",10002.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8863,40.719598,-73.977904,0.0,0.0,0.0,60.0,11.0,0.0,59.0,0.0,0.0,56.0,9.0,0.0,60.0,9.0,0.0,49.0,0.0,0.0
01M332,1.0,University Neighborhood Middle School,212-267-5701,"220 Henry Street, New York, NY 10002",10002.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8869,40.713684,-73.986336,0.0,0.0,0.0,88.0,13.0,0.0,68.0,13.0,0.0,65.0,11.0,0.0,78.0,12.0,0.0,70.0,10.0,0.0
01M378,1.0,School for Global Leaders,212-260-5375,"145 Stanton Street, New York, NY 10002",10002.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8876,40.720581,-73.985645,14.0,14.0,0.0,88.0,10.0,0.0,96.0,19.0,0.0,102.0,21.0,0.0,92.0,18.0,0.0,61.0,12.0,0.0
01M450,1.0,East Side Community School,212-460-8467,"420 East 12 Street, New York, NY 10009",10009.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8879,40.729589,-73.982555,16.0,16.0,0.0,106.0,11.0,0.0,94.0,16.0,0.0,108.0,18.0,0.0,106.0,25.0,0.0,104.0,16.0,0.0
01M539,1.0,"New Explorations into Science, Technology & Math",212-677-5190,"111 Columbia Street, New York, NY 10002",10002.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8881,40.718895,-73.979308,114.0,114.0,81.0,121.0,109.0,77.0,136.0,126.0,91.0,145.0,128.0,78.0,140.0,121.0,82.0,135.0,116.0,76.0
01M839,1.0,Tompkins Square Middle School,212-995-1430,"600 East  6 Street, New York, NY 10009",10009.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8885,40.724435,-73.981521,39.0,39.0,6.0,122.0,63.0,8.0,126.0,66.0,14.0,120.0,70.0,7.0,123.0,58.0,7.0,113.0,33.0,8.0
02M104,2.0,J.H.S. 104 Simon Baruch,212-674-4545,"330 East  21 Street, New York, NY 10010",10010.0,Manhattan,https://www.myschools.nyc/en/schools/middle-school/8939,40.736094,-73.980663,195.0,195.0,50.0,408.0,251.0,83.0,386.0,260.0,53.0,388.0,217.0,60.0,384.0,226.0,48.0,344.0,196.0,45.0
